model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date,graphics_card,processor_type,series,wireless_network
  Lenovo V14 G3 IAP 82TS0042IV ,Lenovo,לא רלוונטי,ללא,"1.43 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2197,3102,2649.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1169525,2022,Integrated Intel Iris Xe Graphics,Intel Core i7,V14 G3 IAP,802.11ac
  Lenovo IdeaPad 3 15ITL6 82H8039EIV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",8 GB,2.5Ghz,1155G7,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1590,1925,1757.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1183077,מ 2023,Integrated Intel Iris Xe Graphics,Intel Core i5,IdeaPad 3 15ITL6,802.11ax
  Lenovo V14 G3 IAP 82TS0024IV ,Lenovo,לא רלוונטי,ללא,"1.43 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1298,1848,1573.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1169524,2022,Integrated Intel UHD Graphics,Intel Core i3,V14 G3 IAP,802.11ac
  Lenovo V14 G2 ITL 82KA001NIV ,Lenovo,לא רלוונטי,ללא,"1.6 ק""ג",8 GB,4.2Ghz,1135G7,דור 11,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1564,2446,2005.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1138548,2022,Integrated Intel UHD Graphics,Intel Core i5,V14 G2,802.11ac
  Lenovo IdeaPad 3 15IAU7 82RK00DDIV ,Lenovo,לא רלוונטי,ללא,"1.63 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2628,3599,3113.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1171603,2022,Integrated Intel Iris Xe Graphics,Intel Core i7,IdeaPad 3,"WiFi 6, 802.11ax"
  Lenovo V14ADA 82C6006AIV ,Lenovo,לא רלוונטי,ללא,"1.6 ק""ג",4 GB,1.2Ghz,3020e,לא זמין,DDR4,256 GB,SSD,לא כולל,14 אינטש,1366x768,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,787,1499,1143.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1097913,2020,Integrated AMD Radeon Graphics,AMD,V14 ADA,802.11ac
  Lenovo IdeaPad 3 15IAU7 82RK00D6IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2511,3266,2888.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1172321,2022,Integrated Intel Iris Xe Graphics,Intel Core i5,IdeaPad 3 15IAU7,"WiFi 6, 802.11ax"
  Lenovo IdeaPad Flex 5 14IAU7 82R7009PIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,3388,4440,3914.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1166583,2022,Integrated Intel Iris Xe Graphics,Intel Core i5,IdeaPad Flex 5,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 15IAU7 82RK00DGIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3060,3716,3388.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1171584,2022,Integrated Intel Iris Xe Graphics,Intel Core i7,IdeaPad 3,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 15IAU7 82RK00CYIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2163,7693,4928.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1170518,2022,Integrated Intel Iris Xe Graphics,Intel Core i5,IdeaPad 3,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 15ITL6 82H803D1IV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",8 GB,3Ghz,1115G4,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1214,1575,1394.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1186654,מ 2023,Integrated Intel UHD Graphics,Intel Core i3,IdeaPad 3 15ITL6,"WiFi 6, 802.11ax"
  Lenovo IdeaPad Flex 5 14IAU7 82R7009FIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,3049,3707,3378.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1166580,2022,Integrated Intel Iris Xe Graphics,Intel Core i5,IdeaPad Flex 5,802.11ax
  Lenovo IdeaPad 3 15IAU7 82RK00CQIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1819,2246,2032.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1171580,2022,Integrated Intel UHD Graphics,Intel Core i3,IdeaPad 3,"WiFi 6, 802.11ax"
  Lenovo V14 G2 ITL 82KA001JIV ,Lenovo,לא רלוונטי,ללא,"1.6 ק""ג",8 GB,3Ghz,1115G4,דור 11,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1175,1699,1437.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1138546,2022,Integrated Intel UHD Graphics,Intel Core i3,V14 G2,802.11ac
  Lenovo V14 G3 IAP 82TS003PIV ,Lenovo,לא רלוונטי,ללא,"1.43 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1889,2445,2167.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1170366,2022,Integrated Intel Iris Xe Graphics,Intel Core i5,V14 G3 IAP,802.11ac
  Lenovo ThinkPad E14 Gen 4 21E30082IV ,Lenovo,לא רלוונטי,ללא,"1.64 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,2780,3195,2987.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1165458,2022,NVIDIA GeForce MX550,Intel Core i5,ThinkPad E14,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 15IAU7 82RK00D0IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2285,2641,2463.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1170501,2022,Integrated Intel Iris Xe Graphics,Intel Core i5,IdeaPad 3,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 15ITL6 82H8039FIV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",8 GB,2.5Ghz,1155G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,כולל,לא זמין,לא כולל,1777,2161,1969.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1183078,מ 2023,Intel Iris Xe Graphics,Intel Core i5,IdeaPad,802.11ax
  Lenovo IdeaPad Flex 5 14IAU7 82R7009YIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,4115,4990,4552.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1165588,2022,Integrated Intel Iris Xe Graphics,Intel Core i7,IdeaPad Flex 5,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 15ITL6 82H8039GIV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",16 GB,2.5Ghz,1155G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,כולל,לא זמין,לא כולל,2165,2295,2230.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1183080,מ 2023,Intel Iris Xe Graphics,Intel Core i5,IdeaPad,802.11ax
