model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_generation,memory_type,storage_capacity,hard_drive_type,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date,graphics_card,processor_type,series,wireless_network
  Lenovo V14 G3 IAP 82TS0042IV ,Lenovo,0,0,1.43,16.0,4.7,12.0,4,512 ,1,14 ,1920x1080,1,60 ,0,1,0,2197.0,3102.0,2649.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1169525,2022,Integrated Intel Iris Xe Graphics,3,V14 G3 IAP,802.11ac
  Lenovo IdeaPad 3 15ITL6 82H8039EIV ,Lenovo,0,0,1.65,8.0,2.5,11.0,4,256 ,1,15.6 ,1920x1080,1,60 ,0,1,0,1590.0,1925.0,1757.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1183077,2023,Integrated Intel Iris Xe Graphics,2,IdeaPad 3 15ITL6,802.11ax
  Lenovo V14 G3 IAP 82TS0024IV ,Lenovo,0,0,1.43,8.0,3.3,12.0,4,256 ,1,14 ,1920x1080,1,60 ,0,1,0,1298.0,1848.0,1573.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1169524,2022,Integrated Intel UHD Graphics,1,V14 G3 IAP,802.11ac
  Lenovo V14 G2 ITL 82KA001NIV ,Lenovo,0,0,1.6,8.0,4.2,11.0,4,256 ,1,14 ,1920x1080,1,60 ,0,1,0,1564.0,2446.0,2005.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1138548,2022,Integrated Intel UHD Graphics,2,V14 G2,802.11ac
  Lenovo IdeaPad 3 15IAU7 82RK00DDIV ,Lenovo,0,0,1.63,16.0,4.7,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,0,2628.0,3599.0,3113.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1171603,2022,Integrated Intel Iris Xe Graphics,3,IdeaPad 3,"WiFi 6, 802.11ax"
  Lenovo V14ADA 82C6006AIV ,Lenovo,0,0,1.6,4.0,1.2,,4,256 ,1,14 ,1366x768,1,60 ,0,1,0,787.0,1499.0,1143.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1097913,2020,Integrated AMD Radeon Graphics,0,V14 ADA,802.11ac
  Lenovo IdeaPad 3 15IAU7 82RK00D6IV ,Lenovo,0,1,1.63,16.0,3.3,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,0,2511.0,3266.0,2888.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1172321,2022,Integrated Intel Iris Xe Graphics,2,IdeaPad 3 15IAU7,"WiFi 6, 802.11ax"
  Lenovo IdeaPad Flex 5 14IAU7 82R7009PIV ,Lenovo,0,1,1.5,16.0,3.3,12.0,4,512 ,1,14 ,1920x1200,2,60 ,1,1,1,3388.0,4440.0,3914.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1166583,2022,Integrated Intel Iris Xe Graphics,2,IdeaPad Flex 5,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 15IAU7 82RK00DGIV ,Lenovo,0,1,1.63,16.0,4.7,12.0,4,512 ,1,15.6 ,1920x1080,1,60 ,0,1,0,3060.0,3716.0,3388.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1171584,2022,Integrated Intel Iris Xe Graphics,3,IdeaPad 3,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 15IAU7 82RK00CYIV ,Lenovo,0,1,1.63,8.0,3.3,12.0,4,256 ,1,15.6 ,1920x1080,1,60 ,0,1,0,2163.0,7693.0,4928.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1170518,2022,Integrated Intel Iris Xe Graphics,2,IdeaPad 3,"WiFi 6, 802.11ax"
